1400539337351,15.12, -45.96, -8.04
1400539337421,15.54, -46.50, -8.40
1400539337422,15.54, -46.74, -8.28
1400539337422,15.54, -46.20, -8.40
1400539337429,15.42, -45.96, -8.70
1400539337514,15.00, -45.36, -9.54
1400539337514,14.28, -44.70, -10.62
1400539337514,13.80, -43.98, -11.58
1400539337515,13.02, -43.20, -13.08
1400539337592,12.00, -42.18, -15.36
1400539337592,10.98, -41.34, -18.00
1400539337592,9.84, -41.10, -20.52
1400539337592,9.12, -40.50, -22.80
1400539337672,8.76, -40.26, -24.12
1400539337672,8.52, -39.84, -24.54
1400539337672,8.10, -39.30, -24.54
1400539337673,7.98, -39.00, -24.18
1400539337754,7.92, -38.88, -23.10
1400539337754,7.80, -38.76, -21.96
1400539337755,8.10, -38.52, -21.00
1400539337755,7.86, -38.16, -20.10
1400539337827,7.44, -37.68, -19.32
1400539337827,7.38, -37.56, -19.26
1400539337827,7.14, -37.38, -19.26
1400539337832,6.84, -36.96, -18.72
1400539337894,6.54, -36.30, -17.70
1400539337895,6.48, -36.00, -16.56
1400539337895,6.12, -35.64, -15.06
1400539337960,6.12, -35.34, -13.86
1400539337960,6.00, -34.92, -13.14
1400539337960,5.58, -34.26, -12.48
1400539338027,5.40, -33.84, -11.88
1400539338027,5.16, -33.42, -11.76
1400539338027,5.22, -33.00, -11.76
1400539338033,5.22, -32.34, -11.76
1400539338102,5.16, -31.50, -11.52
1400539338102,5.16, -30.42, -11.22
1400539338103,5.40, -29.16, -10.80
1400539338113,5.40, -27.48, -10.50
1400539338171,4.98, -25.62, -10.08
1400539338172,4.74, -23.34, -9.72
1400539338174,4.32, -20.94, -9.48
1400539338247,3.90, -18.48, -9.12
1400539338247,56.46, 30.72, -11.22
1400539338247,56.04, 32.40, -10.74
1400539338307,55.56, 33.90, -10.26
1400539338307,55.38, 34.86, -9.66
1400539338308,55.38, 35.70, -9.30
1400539338315,55.44, 36.06, -9.12
1400539338371,55.50, 36.18, -9.12
1400539338371,55.50, 36.24, -9.42
1400539338375,55.68, 36.24, -9.54
1400539338450,55.74, 36.18, -9.72
1400539338450,55.80, 36.00, -10.02
1400539338450,55.86, 35.94, -10.68
1400539338512,55.86, 36.00, -11.64
1400539338513,55.92, 36.00, -12.72
1400539338513,56.04, 36.06, -13.62
1400539338516,56.34, 36.00, -14.64
1400539338573,56.82, 36.00, -16.26
1400539338573,57.36, 36.00, -18.12
1400539338577,58.02, 36.06, -20.10
1400539338659,58.86, 36.06, -22.08
1400539338659,60.12, 35.94, -24.12
1400539338660,61.32, 36.06, -26.34
1400539338660,62.52, 36.24, -28.44
1400539338735,63.78, 36.60, -30.66
1400539338735,65.10, 37.20, -33.24
1400539338735,66.60, 37.92, -35.64
1400539338788,68.04, 38.76, -38.10
1400539338788,69.36, 39.90, -41.04
1400539338788,70.80, 41.10, -44.10
1400539338798,72.30, 42.12, -46.80
1400539338871,73.62, 43.20, -49.50
1400539338871,75.06, 44.04, -51.84
1400539338871,76.32, 45.06, -53.58
1400539338879,77.22, 45.96, -55.26
1400539338956,77.94, 46.74, -56.52
1400539338956,78.54, 47.52, -57.18
1400539338956,78.48, 48.24, -57.72
1400539338959,78.18, 49.02, -58.38
1400539339037,78.00, 49.86, -58.98
1400539339037,77.64, 50.58, -59.52
1400539339037,77.04, 51.24, -60.00
1400539339040,76.50, 52.14, -60.12
1400539339107,76.14, 53.04, -60.30
1400539339107,76.02, 53.76, -60.30
1400539339107,75.78, 54.60, -59.88
1400539339174,75.90, 55.32, -59.34
1400539339174,76.02, 55.68, -58.86
1400539339174,76.08, 56.22, -58.68
1400539339181,76.08, 56.70, -58.26
1400539339244,76.14, 56.88, -58.44
1400539339244,76.20, 57.12, -58.44
1400539339245,76.20, 57.30, -58.74
1400539339311,76.50, 57.36, -58.74
1400539339311,76.32, 57.54, -58.44
1400539339311,76.44, 57.78, -58.08
1400539339379,76.50, 58.02, -57.18
1400539339380,76.86, 58.08, -56.76
1400539339380,77.16, 58.08, -55.92
1400539339384,77.40, 58.20, -55.50
1400539339444,77.58, 58.14, -54.90
1400539339444,77.70, 58.14, -55.02
1400539339444,77.64, 58.14, -55.14
1400539339513,77.28, 58.02, -55.56
1400539339513,77.04, 57.84, -56.52
1400539339513,76.62, 57.78, -57.12
1400539339579,75.96, 57.78, -58.02
1400539339580,75.54, 57.78, -58.86
1400539339580,75.06, 57.84, -59.70
1400539339584,74.70, 58.02, -60.06
1400539339647,74.46, 58.26, -60.54
1400539339647,74.64, 58.56, -60.66
1400539339648,74.76, 58.68, -60.60
1400539339712,74.70, 58.74, -60.42
1400539339712,74.94, 58.98, -60.18
1400539339712,75.12, 59.10, -60.00
1400539339779,75.12, 59.10, -59.88
1400539339779,75.06, 59.10, -59.94
1400539339779,74.76, 59.10, -60.06
1400539339785,74.70, 58.98, -60.30
1400539339846,74.40, 58.92, -60.36
1400539339846,74.34, 58.92, -60.66
1400539339846,74.34, 58.92, -60.84
1400539339915,74.16, 58.98, -60.72
1400539339915,74.22, 58.92, -60.66
1400539339915,74.34, 58.74, -60.60
1400539339988,74.58, 58.50, -60.60
1400539339988,74.58, 58.56, -60.66
